episode,steps,total_steps,return,status,on_pad,fuel,epsilon,loss_mean,q_mean,return_avg100,pad_rate100,seconds
1,117,117,-146.59,crashed,0,9.54,0.9978,,0.014,-146.59,0.0,0.0
2,105,222,-151.32,crashed,0,8.49,0.9958,,0.016,-148.95,0.0,0.0
3,100,322,-127.63,crashed,0,7.59,0.9939,,0.009,-141.85,0.0,0.0
4,115,437,-118.83,crashed,0,10.02,0.9917,,0.016,-136.09,0.0,0.0
5,121,558,-178.78,crashed,0,10.32,0.9894,,0.014,-144.63,0.0,0.0
6,108,666,-96.37,crashed,0,8.97,0.9873,,0.012,-136.59,0.0,0.0
7,125,791,-162.64,crashed,0,12.63,0.985,,0.022,-140.31,0.0,0.0
8,107,898,-129.68,crashed,0,8.7,0.9829,,0.02,-138.98,0.0,0.0
9,107,1005,-168.1,crashed,0,9.42,0.9809,1.3701,0.01,-142.22,0.0,0.0
10,121,1126,-71.93,crashed,0,10.86,0.9786,1.2648,-0.085,-135.19,0.0,0.1
11,116,1242,-124.72,crashed,0,9.87,0.9764,1.1486,-0.325,-134.24,0.0,0.1
12,113,1355,-106.49,crashed,0,9.99,0.9743,0.5656,-0.401,-131.92,0.0,0.1
13,115,1470,-89.95,crashed,0,9.24,0.9721,0.5398,-0.353,-128.7,0.0,0.2
14,103,1573,-98.26,crashed,0,8.19,0.9701,0.763,-0.295,-126.52,0.0,0.2
15,117,1690,-70.56,crashed,0,12.09,0.9679,1.2642,-0.265,-122.79,0.0,0.2
16,118,1808,-157.97,crashed,0,12.36,0.9656,0.9775,-0.233,-124.99,0.0,0.3
17,127,1935,-199.82,crashed,0,14.34,0.9632,0.9984,-0.301,-129.39,0.0,0.3
18,143,2078,-113.58,crashed,0,15.75,0.9605,1.101,-0.066,-128.51,0.0,0.3
19,113,2191,-132.45,crashed,0,9.36,0.9584,1.031,1.302,-128.72,0.0,0.3
20,135,2326,-196.89,crashed,0,13.44,0.9558,0.6694,0.962,-132.13,0.0,0.4
21,115,2441,-130.38,crashed,0,10.41,0.9536,0.718,1.369,-132.05,0.0,0.4
22,103,2544,-201.12,crashed,0,10.59,0.9517,1.0134,0.658,-135.19,0.0,0.4
23,124,2668,-151.46,crashed,0,11.76,0.9493,0.5706,0.617,-135.89,0.0,0.5
24,117,2785,-156.28,crashed,0,10.17,0.9471,0.7172,1.127,-136.74,0.0,0.5
25,145,2930,-70.9,crashed,0,14.37,0.9443,0.7199,1.208,-134.11,0.0,0.5
26,133,3063,-58.78,crashed,0,16.59,0.9418,0.8605,1.54,-131.21,0.0,0.6
27,130,3193,-67.84,crashed,0,12.99,0.9393,1.0704,3.034,-128.86,0.0,0.6
28,127,3320,-171.4,crashed,0,13.11,0.9369,0.5055,1.928,-130.38,0.0,0.6
29,121,3441,-215.1,crashed,0,13.89,0.9346,0.8288,0.104,-133.31,0.0,0.7
30,132,3573,-184.71,crashed,0,13.23,0.9321,0.678,1.263,-135.02,0.0,0.7
31,120,3693,-49.27,crashed,0,10.86,0.9298,0.8643,2.845,-132.25,0.0,0.7
32,159,3852,-127.09,crashed,0,17.49,0.9268,0.488,2.941,-132.09,0.0,0.8
33,158,4010,-215.05,crashed,0,16.41,0.9238,0.599,0.357,-134.6,0.0,0.8
34,123,4133,-119.57,crashed,0,12.33,0.9215,0.9627,3.976,-134.16,0.0,0.9
35,145,4278,-112.82,crashed,0,15.33,0.9187,0.744,4.246,-133.55,0.0,0.9
36,121,4399,-176.49,crashed,0,12.84,0.9164,0.5069,3.1,-134.75,0.0,0.9
37,136,4535,-131.3,crashed,0,15.48,0.9138,0.9597,2.104,-134.65,0.0,1.0
38,140,4675,-119.27,crashed,0,15.81,0.9112,0.5681,4.455,-134.25,0.0,1.0
39,131,4806,-114.54,crashed,0,15.39,0.9087,0.9463,3.955,-133.74,0.0,1.1
40,114,4920,-73.87,crashed,0,11.07,0.9065,0.9756,5.72,-132.25,0.0,1.1
41,122,5042,-122.43,crashed,0,14.13,0.9042,1.1154,4.964,-132.01,0.0,1.1
42,137,5179,-112.09,crashed,0,14.91,0.9016,1.0303,5.494,-131.53,0.0,1.2
43,121,5300,-166.77,crashed,0,13.11,0.8993,0.7044,1.721,-132.35,0.0,1.2
44,154,5454,-198.71,crashed,0,17.49,0.8964,0.6498,2.804,-133.86,0.0,1.2
45,155,5609,-142.35,crashed,0,18.36,0.8934,0.6973,3.501,-134.05,0.0,1.3
46,141,5750,-124.98,crashed,0,17.28,0.8908,1.0344,5.541,-133.85,0.0,1.3
47,168,5918,-106.7,crashed,0,17.94,0.8876,0.7044,4.465,-133.27,0.0,1.4
48,119,6037,-255.45,crashed,0,12.27,0.8853,0.7571,2.809,-135.82,0.0,1.4
49,128,6165,-131.87,crashed,0,12.69,0.8829,1.0309,7.19,-135.74,0.0,1.4
50,148,6313,-188.33,crashed,0,16.77,0.8801,0.6952,2.224,-136.79,0.0,1.5
51,109,6422,-215.12,crashed,0,9.87,0.878,0.7714,3.236,-138.33,0.0,1.6
52,174,6596,-180.85,crashed,0,21.42,0.8747,0.7444,2.682,-139.14,0.0,1.7
53,126,6722,-87.03,crashed,0,13.23,0.8723,0.6639,8.437,-138.16,0.0,1.7
54,142,6864,-70.8,crashed,0,17.28,0.8696,0.9089,8.226,-136.91,0.0,1.8
55,131,6995,-204.57,crashed,0,13.62,0.8671,0.5289,1.103,-138.14,0.0,1.8
56,132,7127,-166.3,crashed,0,14.1,0.8646,0.8608,1.65,-138.65,0.0,1.8
57,153,7280,-168.76,crashed,0,17.7,0.8617,0.7235,1.43,-139.17,0.0,1.9
58,164,7444,-95.09,crashed,0,22.5,0.8586,0.7369,4.237,-138.41,0.0,1.9
59,131,7575,-202.0,crashed,0,13.2,0.8561,0.408,4.667,-139.49,0.0,2.0
60,132,7707,-86.48,crashed,0,12.39,0.8536,0.8594,10.773,-138.61,0.0,2.0
61,183,7890,-176.51,crashed,0,24.96,0.8501,0.5249,3.725,-139.23,0.0,2.1
62,139,8029,-183.5,crashed,0,13.68,0.8474,0.6659,2.093,-139.94,0.0,2.1
63,175,8204,-175.17,crashed,0,21.72,0.8441,0.8151,4.07,-140.5,0.0,2.1
64,151,8355,-121.31,crashed,0,18.75,0.8413,0.7145,7.227,-140.2,0.0,2.2
65,157,8512,-122.97,crashed,0,20.19,0.8383,0.4593,9.322,-139.94,0.0,2.2
66,139,8651,-164.53,crashed,0,13.83,0.8356,0.7226,4.34,-140.31,0.0,2.3
67,170,8821,-211.64,crashed,0,21.39,0.8324,0.88,1.325,-141.38,0.0,2.3
68,175,8996,-132.27,crashed,0,25.35,0.8291,0.3925,5.09,-141.24,0.0,2.4
69,161,9157,-60.56,crashed,0,22.29,0.826,0.8527,9.883,-140.07,0.0,2.4
70,204,9361,-68.78,crashed,0,28.92,0.8221,0.4712,9.008,-139.05,0.0,2.5
71,187,9548,-162.95,crashed,0,25.02,0.8186,0.7323,3.455,-139.39,0.0,2.5
72,142,9690,-49.74,crashed,0,17.1,0.8159,0.4535,13.192,-138.14,0.0,2.6
73,129,9819,-124.61,crashed,0,16.29,0.8134,0.7269,7.833,-137.96,0.0,2.6
74,142,9961,-188.86,crashed,0,17.01,0.8107,0.6302,1.89,-138.65,0.0,2.6
75,132,10093,-174.98,crashed,0,14.46,0.8082,1.0382,5.683,-139.13,0.0,2.7
76,148,10241,-74.73,crashed,0,17.58,0.8054,0.6627,12.05,-138.28,0.0,2.7
77,166,10407,-95.52,crashed,0,22.95,0.8023,0.5341,5.606,-137.73,0.0,2.8
78,177,10584,-174.34,crashed,0,22.8,0.7989,0.5529,1.698,-138.2,0.0,2.9
79,174,10758,-114.04,crashed,0,22.35,0.7956,0.629,6.891,-137.89,0.0,2.9
80,143,10901,-103.55,crashed,0,19.68,0.7929,0.543,6.054,-137.46,0.0,3.0
81,152,11053,-79.92,crashed,0,18.42,0.79,0.6823,11.315,-136.75,0.0,3.0
82,142,11195,-173.04,crashed,0,15.6,0.7873,0.4875,3.968,-137.2,0.0,3.0
